#Label	Enable	X	Y	Z	Omega	Phi	Kappa	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Omega_error	Phi_error	Kappa_error	X_est	Y_est	Z_est	Omega_est	Phi_est	Kappa_est
FLF_0663_0725808380_193RZS_N0320390FHAZ08111_0A0295J02.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0663_0725808410_441RZS_N0320390FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043100000														
FLF_0663_0725812904_698RZS_N0320482FHAZ02008_0A1095J04.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043140000														
FLF_0667_0726154912_667RZS_N0320494FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0667_0726154941_130RZS_N0320494FHAZ08111_0A0095J07.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043160000														
FLF_0667_0726160394_606RZS_N0320580FHAZ02218_0A0195J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043070000														
FLF_0670_0726420507_927RZS_N0320592FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043150000														
FLF_0670_0726420536_362RZS_N0320592FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0670_0726427284_412RZS_N0320672FHAZ02008_0A0095J02.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043130000														
FLF_0674_0726775418_817RZS_N0320684FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0674_0726775447_987RZS_N0320684FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043140000														
FLF_0674_0726779676_683RZS_N0320774FHAZ02008_0A0095J04.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0678_0727130138_676RZS_N0320786FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0678_0727130167_130RZS_N0320786FHAZ08111_0A1095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0678_0727135627_862RZS_N0320896FHAZ02218_0A0195J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043110000														
FLF_0681_0727399844_800RZS_N0320908FHAZ08111_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0681_0727399873_270RZS_N0320908FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043100000														
FLF_0684_0727664299_645RZS_N0321050FHAZ08111_0A0095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0686_0727849263_537RZS_N0321184FHAZ02218_0A1185J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043100000														
FLF_0688_0728025478_520RZS_N0321184FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043120000														
FLF_0693_0728472921_073RZS_N0321394FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0694_0728556694_661RZS_N0322340FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043150000														
FLF_0695_0728647910_153RZS_N0330000FHAZ02008_0A1095J03.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043110000														
FLF_0697_0728815767_159RZS_N0330000FHAZ00206_0A0295J02.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0697_0728817123_612RZS_N0330000FHAZ00206_0A0295J02.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043140000														
FLF_0697_0728817743_869RZS_N0330000FHAZ02008_0A1095J01.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043140000														
FLF_0698_0728910869_191RZS_N0330000FHAZ00206_0A0295J02.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0698_0728917255_918RZS_N0330262FHAZ02418_0A0295J03.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000														
FLF_0700_0729092729_528RAD_N0330366FHAZ02418_0A0295J01.png	0	-2367.939100000	799.846200000	42.803600000																	
FLF_0702_0729270278_918RAD_N0330402FHAZ02008_0A0095J03.png	0	-2372.420700000	806.258600000	44.251600000																	
FLF_0705_0729531843_612RAD_N0330402FHAZ02418_0A0295J01.png	0	-2372.421200000	806.259700000	44.250300000																	
FLF_0706_0729623674_443RAD_N0330430FHAZ02418_0A0295J01.png	0	-2372.373500000	806.126900000	44.229300000																	
FLF_0707_0729714035_384RAD_N0330612FHAZ02418_0A0295J01.png	0	-2386.558100000	830.759900000	47.826600000																	
FLF_0708_0729806657_722RAD_N0331756FHAZ02418_0A0295J01.png	0	-2533.460700000	916.070900000	61.132600000																	
FLF_0709_0729887019_543RAD_N0332864FHAZ02008_0A0095J08.png	0	-2697.025100000	1010.276000000	73.920600000																	
FLF_0711_0730070621_277RAD_N0332864FHAZ00206_0A0295J01.png	0	-2697.028300000	1010.275900000	73.916200000																	
FLF_0711_0730071169_417RAD_N0332864FHAZ02008_0A1095J02.png	0	-2697.027100000	1010.276000000	73.917900000																	
FLF_0711_0730072535_756RAD_N0332864FHAZ00206_0A0295J01.png	0	-2697.027600000	1010.276400000	73.917300000																	
FLF_0711_0730073196_521RAD_N0332864FHAZ00206_0A0295J01.png	0	-2697.027200000	1010.276500000	73.917700000																	
FLF_0711_0730074611_304RAD_N0332864FHAZ00206_0A0295J01.png	0	-2697.027600000	1010.276300000	73.917200000																	
FLF_0713_0730240324_300RAD_N0333878FHAZ02418_0A0295J01.png	0	-2743.513000000	1151.731100000	79.329200000																	
FLF_0714_0730335663_571RAD_N0334752FHAZ02418_0A0295J01.png	0	-2825.543400000	1239.381000000	80.199800000																	
FLF_0715_0730420934_663RAD_N0340000FHAZ02418_0A0295J04.png	0	-2867.876300000	1422.444600000	83.700700000																	
FLF_0716_0730509308_914RAD_N0340952FHAZ02418_0A0295J01.png	0	-2913.635100000	1592.617700000	87.460000000																	
FLF_0718_0730679384_131RAD_N0342098FHAZ02418_0A0295J01.png	0	-3006.205300000	1763.053600000	92.577100000																	
FLF_0719_0730765498_065RAD_N0343196FHAZ02447_0A0295J01.png	0	-3194.327100000	1822.796400000	95.956600000																	
FLF_0719_0730778753_898RAD_N0344394FHAZ02418_0A0295J01.png	0	-3403.327400000	1837.446300000	107.828500000																	
FLF_0721_0730952813_309RAD_N0345120FHAZ02008_0A1095J01.png	0	-3433.502700000	1766.268800000	111.722400000																	
FLF_0726_0731382162_621RAD_N0345120FHAZ02418_0A0295J01.png	0	-3433.502500000	1766.268800000	111.722400000																	
FLF_0726_0731397870_318RAD_N0350000FHAZ02418_0A0295J01.png	0	-3433.502000000	1766.269600000	111.723200000																	
FLF_0727_0731483847_737RAD_N0360000FHAZ02418_0A0295J01.png	0	-3433.521700000	1766.270700000	111.723900000																	
FLF_0729_0731655245_663RAD_N0360000FHAZ02418_0A0295J01.png	0	-3433.521400000	1766.268600000	111.721400000																	
FLF_0731_0731847249_403RAD_N0361610FHAZ02418_0A0295J01.png	0	-3605.940500000	1676.497100000	115.437600000																	
FLF_0732_0731935648_973RAD_N0363294FHAZ02418_0A0295J01.png	0	-3744.104500000	1524.699000000	121.521100000																	
FLF_0736_0732292028_348RAD_N0370000FHAZ02008_0A0095J17.png	0	-3762.264100000	1516.730400000	121.552700000																	
FLF_0750_0733519147_132RAD_N0370000FHAZ02008_0A0095J01.png	0	-3762.265100000	1516.731100000	121.550900000																	
FLF_0753_0733796575_972RAD_N0371798FHAZ02418_0A0295J01.png	0	-4023.486600000	1528.034400000	127.911300000																	
FLF_0755_0733967883_190RAD_N0372562FHAZ02418_0A0295J01.png	0	-4134.222300000	1583.694900000	133.777000000																	
FLF_0757_0734152245_190RAD_N0372562FHAZ02008_0A0095J01.png	0	-4134.222300000	1583.694900000	133.777000000																	
FLF_0759_0734326330_316RAD_N0373758FHAZ02008_0A0095J01.png	0	-3990.888100000	1723.050000000	129.087100000																	
FLF_0762_0734596678_226RAD_N0374972FHAZ02418_0A0295J01.png	0	-4152.294300000	1737.053900000	137.343700000																	
FLF_0763_0734683331_880RAD_N0380000FHAZ02418_0A0295J01.png	0	-4343.583200000	1830.526500000	148.491400000																	
FLF_0764_0734771733_867RAD_N0380944FHAZ02418_0A0295J01.png	0	-4474.278100000	1919.955400000	149.941400000																	
FLF_0765_0734862432_823RAD_N0381808FHAZ02418_0A0295J01.png	0	-4575.763000000	2042.092500000	150.151700000																	
FLF_0768_0735125136_159RAD_N0390000FHAZ02008_0A0095J08.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043160000														
FLF_0768_0735125136_159RAD_N0390000FHAZ02008_0A0095J08.png	0	-0.009170000	1.104280000	0.728840000	63.920240000	9.893450000	0.043160000	0.005488861	0.002737060	-0.002935979	-0.003743811	0.259767436	-0.135630638	0.094300133	0.200476771	-0.006432940	1.101344021	0.725096189	63.784609362	9.987750133	0.243636771
FLF_0770_0735307506_800RAD_N0390650FHAZ02008_0A0095J01.png	0	-4602.803200000	2271.283800000	146.839700000																	
FLF_0775_0735752061_691RAD_N0390690FHAZ02008_0A0095J01.png	0	-4602.976200000	2270.301700000	146.776600000																	
FLF_0776_0735828585_067RAD_N0390690FHAZ00206_0A0295J01.png	0	-4602.974900000	2270.303100000	146.773100000																	
FLF_0777_0735929278_300RAD_N0390690FHAZ02008_0A1095J01.png	0	-4602.975000000	2270.303200000	146.773100000																	
FLF_0781_0736275478_418RAD_N0390690FHAZ00206_0A0295J01.png	0	-4602.974200000	2270.303800000	146.771300000																	
FLF_0793_0737342107_380RAD_N0391036FHAZ02008_0A0095J04.png	0	-4622.640000000	2248.233890000	149.154160000	-60.982440000	60.696930000	-203.607770000														
FLF_0793_0737342107_380RAD_N0391036FHAZ02008_0A0095J04.png	0	-4622.640000000	2248.233890000	149.154160000	-60.982440000	60.696930000	-203.607770000														
FLF_0795_0737524795_224RAD_N0391112FHAZ02008_0A1095J05.png	0	-4624.551660000	2253.726280000	149.695640000	46.671830000	77.758440000	31.708400000														
FLF_0795_0737524795_224RAD_N0391112FHAZ02008_0A1095J05.png	0	-4624.551660000	2253.726280000	149.695640000	46.671830000	77.758440000	31.708400000														
FLF_0797_0737704328_659RAD_N0391170FHAZ00218_0A0295J01.png	0	-4625.728160000	2255.822890000	149.527440000	60.643570000	37.902250000	-1.950510000														
FLF_0797_0737704328_659RAD_N0391170FHAZ00218_0A0295J01.png	0	-4625.728160000	2255.822890000	149.527440000	60.643570000	37.902250000	-1.950510000														
